REQUEST ID,TIME OF REQUEST,REQUEST TYPE,ODEMAND X,ODEMAND Y,DDEMAND X,DDEMAND Y,ACCEPTED/REJECTED,PICKUP ID,PICKUP X,PICKUP Y,WAIT TIME,P WALK TIME,DELTA_T,COST,DROPOFF ID,DROPOFF X,DROPOFF Y,RIDE TIME,D WALK TIME,DELTA_T,COST
21,2243,PRD,3.333333333333333,0.5,4.154683000045084,0.657305819889303,True,2,3.333333333333333,0.5,429,0.0,0.0,0.0,11,4.378203201256778,0.9242884240060574,1132,125.367759993,0,0
23,2552,PRD,3.333333333333333,0.5,4.8717305956390735,0.5840280699162643,True,2,3.333333333333333,0.5,120,0.0,0.0,0.0,11,4.378203201256778,0.9242884240060574,1132,221.833244408,0,0
27,3008,PRD,3.333333333333333,0.5,4.279127354287093,0.948347510705522,True,2,3.333333333333333,0.5,192,0.0,0.0,0.0,11,4.378203201256778,0.9242884240060574,604,233.575543367,0,0
29,3158,PRD,3.333333333333333,0.5,4.342931268874129,0.9619796532522461,True,2,3.333333333333333,0.5,42,0.0,0.0,0.0,11,4.378203201256778,0.9242884240060574,604,98.725933749,0,0
13,1179,PRD,3.333333333333333,0.5,4.59302476255575,0.8495025029704865,True,2,3.333333333333333,0.5,1493,0.0,0.0,0.0,322,4.59302476255575,0.8495025029704865,1299,0.0,177.761201426,44.6150516079
12,1151,RPD,0.7815082233196208,0.3195386281794169,5.0,0.5,True,293,0.7815082233196208,0.3195386281794169,466,0.0,96.6214584739,24.2455953044,3,5.0,0.5,2546,0.0,0.0,0.0
8,872,RPD,4.419332241062954,0.5737112831487278,5.0,0.5,True,11,4.378203201256778,0.9242884240060574,2932,0.0,10.0,2.5,3,5.0,0.5,359,0.0,0.0,0.0
31,3245,RPD,4.370316652480582,0.980558066030201,5.0,0.5,True,11,4.378203201256778,0.9242884240060574,559,46.1924573762,0,0,3,5.0,0.5,359,0.0,0.0,0.0
34,3783,RPD,4.748745285762139,0.8479581347871574,5.0,0.5,True,376,4.748745285762139,0.8479581347871574,139,0.0,85.4871478671,149.681141213,3,5.0,0.5,241,0.0,0.0,0.0
17,1355,RPD,0.07978246126215838,0.2379788751950479,5.0,0.5,False,,,,,,,,,,,,,,
25,2624,RPD,2.3825120701892457,0.5164140238287207,3.333333333333333,0.5,False,,,,,,,,,,,,,,
26,2878,PRD,1.6666666666666665,0.5,3.490078802796976,0.7291917574804198,False,,,,,,,,,,,,,,
30,3179,PRD,1.6666666666666665,0.5,3.7950871639955706,0.2740734009860898,False,,,,,,,,,,,,,,
32,3604,PD,1.6666666666666665,0.5,5.0,0.5,False,,,,,,,,,,,,,,
33,3769,PRD,3.333333333333333,0.5,4.670935652662738,0.8861993466838258,False,,,,,,,,,,,,,,
35,4109,PD,1.6666666666666665,0.5,5.0,0.5,False,,,,,,,,,,,,,,
